App ID,Game Name,Playtime (Hours),Achievement API Name,Achievement Display Name,Description,Achieved (1=Yes),Unlock Time (UTC)
220,Half-Life 2,0.0,HLX_KILL_ENEMIES_WITHPHYSICS,Bone Breaker,Kill 30 enemies with thrown physics objects.,0,
220,Half-Life 2,0.0,HLX_KILL_ENEMY_WITHHOPPERMINE,Deadly Harvest,Kill an enemy by planting a hopper mine.,0,
220,Half-Life 2,0.0,HLX_KILL_SOLDIER_WITHHISGRENADE,Hot Potat0wned,Kill a Combine soldier with his own grenade.,0,
220,Half-Life 2,0.0,EPX_GET_ZOMBINEGRENADE,Grave Robber,Steal a Zombine's grenade.,0,
220,Half-Life 2,0.0,GLOBAL_GNOME_ALONE,Gnome Alone,"If you are reading this achievement, Gabe Newell has successfully launched Gnome Chompski into space. If you did not also receive the achievement 'Manufacturing Ascent', Newell has abandoned his plans to shoot Noam Chomsky into space.",0,
280,Half-Life: Source,0.0,,,,,
320,Half-Life 2: Deathmatch,0.0,,,,,
360,Half-Life Deathmatch: Source,0.0,,,,,
550,Left 4 Dead 2,4.33,ACH_HONK_A_CLOWNS_NOSE,CL0WND,Honk the noses of 10 Clowns.,0,
550,Left 4 Dead 2,4.33,ACH_INCENDIARY_CLOWN_POSSE,FRIED PIPER,"Using a Molotov, burn a Clown leading at least 10 Common Infected. ",0,
550,Left 4 Dead 2,4.33,ACH_MELEE_A_CHARGER,LEVEL A CHARGE,Kill a Charger with a melee weapon while they are charging.,0,
550,Left 4 Dead 2,4.33,ACH_KILL_SPITTER_FAST,ACID REFLEX,Kill a Spitter before she is able to spit.,1,2013-03-17T02:08:32
550,Left 4 Dead 2,4.33,ACH_FINISH_CAMPAIGN_MELEE_ONLY,CONFEDERACY OF CRUNCHES,Finish a campaign using only melee weapons.,0,
550,Left 4 Dead 2,4.33,ACH_KILL_EVERY_UNCOMMON_INFECTED,CRASS MENAGERIE,Kill one of each Uncommon Infected.,0,
550,Left 4 Dead 2,4.33,ACH_SAVE_PLAYER_FROM_JOCKEY_FAST,A RIDE DENIED,Kill a Jockey within 2 seconds of it jumping on a Survivor.,0,
550,Left 4 Dead 2,4.33,ACH_CUT_OFF_HEADS_MELEE,HEAD HONCHO,Decapitate 200 Infected with a melee weapon.,0,
550,Left 4 Dead 2,4.33,ACH_VS_LEAVE_SAFE_ROOM_DEFIB_TEAMMATE,HEARTWARMER,"In a Versus round, leave the saferoom to defibrillate a dead teammate.",0,
550,Left 4 Dead 2,4.33,ACH_BEAT_CAMPAIGNS_EXPERT_MODE,STILL SOMETHING TO PROVE,Survive all campaigns on Expert.,0,
550,Left 4 Dead 2,4.33,ACH_SURVIVE_EXPERT_REALISM,THE REAL DEAL,Survive a campaign on Expert skill with Realism mode enabled.,0,
550,Left 4 Dead 2,4.33,ACH_VS_FORM_PARTY_AND_WIN_4V4,STRENGTH IN NUMBERS,Form a team and beat an enemy team in 4v4 Versus or Scavenge.,0,
550,Left 4 Dead 2,4.33,ACH_KILL_SUBMERGED_MUDMEN,DEAD IN THE WATER,Kill 10 swampy Mudmen while they are in the water.,0,
550,Left 4 Dead 2,4.33,ACH_COLLECT_CEDA_VIALS,ROBBED ZOMBIE,Collect 10 vials of Boomer vomit from infected CEDA agents you have killed.,0,
550,Left 4 Dead 2,4.33,ACH_KILL_ZOMBIES_GRENADE_BLAST,DISMEMBERMENT PLAN,Kill 15 Infected with a single grenade launcher blast.,0,
550,Left 4 Dead 2,4.33,ACH_IGNITE_INFECTED_FIRE_AMMO,BURNING SENSATION,Ignite 50 Common Infected with incendiary ammo.,0,
550,Left 4 Dead 2,4.33,ACH_DEPLOY_AMMO_UPGRADE,ARMORY OF ONE,Deploy an ammo upgrade and have your team use it.,0,
550,Left 4 Dead 2,4.33,ACH_RES_SURVIVORS_WITH_DEFIB,SHOCK JOCK,Revive 10 dead Survivors with the defibrillator.,0,
550,Left 4 Dead 2,4.33,ACH_SPEED_REVIVE_WITH_ADRENALINE,THE QUICK AND THE DEAD,Revive 10 incapacitated Survivors while under the speed-boosting effects of adrenaline.,0,
550,Left 4 Dead 2,4.33,ACH_KILL_INFECTED_WITH_CHAINSAW,CHAIN OF COMMAND,Kill 100 Common Infected with the chainsaw.,0,
550,Left 4 Dead 2,4.33,ACH_BILE_A_TANK,SEPTIC TANK,Use a bile bomb on a Tank.,0,
550,Left 4 Dead 2,4.33,ACH_KILL_WITH_EVERY_MELEE,CLUB DEAD,Use every melee weapon to kill Common Infected.,0,
550,Left 4 Dead 2,4.33,ACH_KILL_TANK_MELEE_ONLY,TANK BURGER,Kill a Tank with melee weapons.,0,
550,Left 4 Dead 2,4.33,ACH_BRIDGE_TIMED_RUN,BRIDGE OVER TREBLED SLAUGHTER,Cross the bridge finale in less than three minutes.,0,
550,Left 4 Dead 2,4.33,ACH_SURVIVE_MALL,PRICE CHOPPER,Survive the Dead Center campaign.,1,2013-03-17T04:39:03
550,Left 4 Dead 2,4.33,ACH_SURVIVE_ROAD,MIDNIGHT RIDER,Survive the Dark Carnival campaign.,0,
550,Left 4 Dead 2,4.33,ACH_SURVIVE_SWAMP,RAGIN' CAJUN,Survive the Swamp Fever campaign.,0,
550,Left 4 Dead 2,4.33,ACH_SURVIVE_TOWN,WEATHERMAN,Survive the Hard Rain campaign.,0,
550,Left 4 Dead 2,4.33,ACH_SURVIVE_BRIDGE,BRIDGE BURNER,Survive the Parish campaign.,0,
550,Left 4 Dead 2,4.33,ACH_IMPOUND_LOT_NO_ALARMS,VIOLENCE IN SILENCE,Navigate the impound lot and reach the cemetery safe room without tripping any alarms.,0,
550,Left 4 Dead 2,4.33,ACH_GNOME_RESCUE,GUARDIN' GNOME,Rescue Gnome Chompski from the Carnival.,0,
550,Left 4 Dead 2,4.33,ACH_WITCH_TOWN_NO_WITCH_KILLS,SOB STORY,Navigate the sugar mill and reach the safe room without killing any Witches.,0,
550,Left 4 Dead 2,4.33,ACH_AIRLINE_FINALE_NO_DAMAGE,WING AND A PRAYER,Defend yourself at the crashed airliner without taking damage.,0,
550,Left 4 Dead 2,4.33,ACH_VS_JOCKEY_LONG_RIDE,QUALIFIED RIDE,"As the Jockey, ride a Survivor for more than 12 seconds.",0,
550,Left 4 Dead 2,4.33,ACH_VS_JOCKEY_TWO_PLAYERS,BACK IN THE SADDLE,"As the Jockey, ride the Survivors twice in a single life.",0,
550,Left 4 Dead 2,4.33,ACH_VS_JOCKEY_INTO_ACID,"RODE HARD, PUT AWAY WET","As the Jockey, ride a Survivor and steer them into a Spitter's acid patch.",0,
550,Left 4 Dead 2,4.33,ACH_VS_SPIT_ON_ENEMY_TEAM,GREAT EXPECTORATIONS,"As the Spitter, hit every Survivor with a single acid patch.",0,
550,Left 4 Dead 2,4.33,ACH_VS_SPIT_ON_SMOKERED_PLAYER,A SPITTLE HELP FROM MY FRIENDS,"As the Spitter, spit on a Survivor being choked by a Smoker.",0,
550,Left 4 Dead 2,4.33,ACH_VS_BOWL_ENEMY_TEAM,SCATTERING RAM,"As the Charger, bowl through the entire enemy team in a single charge.",0,
550,Left 4 Dead 2,4.33,ACH_VS_CHARGER_GROUND_SMASH,MEAT TENDERIZER,"As the Charger, grab a Survivor and smash them into the ground for a solid 15 seconds.",0,
550,Left 4 Dead 2,4.33,ACH_VS_CHARGER_LONG_CARRY,LONG DISTANCE CARRIER,"As the Charger, grab a Survivor and carry them over 80 feet.",0,
550,Left 4 Dead 2,4.33,ACH_SURVIVAL_GET_MEDAL_MELEE_ONLY,BEAT THE RUSH,"In a Survival round, get a medal only using melee weapons.",0,
550,Left 4 Dead 2,4.33,ACH_SCAVENGE_WIN_A_GAME,HUNTING PARTY,Win a game of Scavenge.,0,
550,Left 4 Dead 2,4.33,ACH_SCAVENGE_COLLECT_CAN_GRIND,GAS GUZZLER,Collect 100 gas cans in Scavenge.,0,
550,Left 4 Dead 2,4.33,ACH_SCAVENGE_COLLECT_ALL_CANS,CACHE AND CARRY,Collect 15 gas cans in a single Scavenge round.,0,
550,Left 4 Dead 2,4.33,ACH_SCAVENGE_SHUT_OUT,SCAVENGE HUNT,Stop the enemy team from collecting any gas cans during a Scavenge round.,0,
550,Left 4 Dead 2,4.33,ACH_STRONGMAN_GAME,GONG SHOW,Prove you are stronger than Moustachio.,0,
550,Left 4 Dead 2,4.33,ACH_SCAVENGE_MAKE_SURVIVOR_DROP_CAN,FUEL CRISIS,Make a Survivor drop a gas can during overtime.,0,
550,Left 4 Dead 2,4.33,ACH_SCAVENGE_CAN_DROP_GRIND,GAS SHORTAGE,Cause 25 gas can drops as a Special Infected.,0,
550,Left 4 Dead 2,4.33,ACH_STASH_WHACKER,STACHE WHACKER,Prove you are faster than Moustachio.,0,
550,Left 4 Dead 2,4.33,ACH_SURVIVE_THE_PASSING,TORCH BEARER,Survive The Passing Campaign.,1,2013-03-17T05:37:12
550,Left 4 Dead 2,4.33,ACH_VS_CHARGE_THROUGH_CHAIRS,WEDDING CRASHER,"As the Charger, grab a Survivor and crash them through 8 chairs at the wedding.",0,
550,Left 4 Dead 2,4.33,ACH_KILLS_WITH_M60,TIL IT GOES CLICK,"Using the M60, kill 25 infected without letting go of the trigger.",0,
550,Left 4 Dead 2,4.33,ACH_SCAVENGE_FALLEN_SURVIVOR,GRAVE ROBBER,Collect 10 items dropped by a Fallen Survivor.,0,
550,Left 4 Dead 2,4.33,ACH_COMPLETE_CHALLENGE_MODES,MUTANT OVERLORD,Play 6 Mutations.,0,
550,Left 4 Dead 2,4.33,ACH_HEADS_WITH_GOLF_CLUB,FORE!,Knock off the heads of 18 infected with the golf club.,0,
550,Left 4 Dead 2,4.33,ACH_HEAR_BALLAD,KILLING THEM SWIFTLY TO THIS SONG,Play the new Midnight Riders song on a jukebox.,0,
550,Left 4 Dead 2,4.33,ACH_KILL_TANK_L4D1_ONLY,KITE LIKE A MAN,Kill a Tank only with damage from the original Survivors.,0,
550,Left 4 Dead 2,4.33,ACH_OPEN_FOOT_LOCKERS,CACHE GRAB,Open 5 foot lockers.,0,
550,Left 4 Dead 2,4.33,ACH_SCAVENGE_PLAY_C6_FINALE,PORT OF SCAVENGE,Play 5 full games of Scavenge on The Port.,0,
550,Left 4 Dead 2,4.33,ACH_COMPLETE_THE_SACRIFICE,SUPREME SACRIFICE,"Complete ""The Sacrifice"".",0,
550,Left 4 Dead 2,4.33,ACH_SACRIFICE_BILL,KILL BILL,Have Bill sacrifice himself for the team.,0,
550,Left 4 Dead 2,4.33,ACH_KILL_SPECIAL_WITH_BARREL,BARREL ROLLED,Kill a Special Infected with an exploding barrel.,0,
550,Left 4 Dead 2,4.33,ACH_RUN_ALL_GENERATORS,CHAOS GENERATOR,"Have all 3 generators running at once in ""The Sacrifice"" finale.",0,
550,Left 4 Dead 2,4.33,ACH_VS_PREVENT_SACRIFICE,SACRIFIZZLE,"As a Special Infected, incap someone who is trying to sacrifice themselves.",0,
550,Left 4 Dead 2,4.33,ACH_SURVIVE_COLD_STREAM,STREAM CROSSER,Survive the Cold Stream campaign on any difficulty.,0,
550,Left 4 Dead 2,4.33,ACH_VS_COMPLETE_DEAD_AIR,CONNECTING FIGHTS,Play a Versus game on Dead Air from start to finish.,0,
550,Left 4 Dead 2,4.33,ACH_COLLECT_HOLIDAY_GIFTS,Valve Gift Grab 2011 – L4D2,Collect three gifts dropped by Special Infected in Versus Mode.,0,
550,Left 4 Dead 2,4.33,ACH_HELP_FREE_PLAYER_SURVIVE,GOOD GUY NICK,Plays games with free weekend players and helps them survive a campaign.,0,
550,Left 4 Dead 2,4.33,ACH_HELP_FREE_CHRISTMAS_PLAYER_SURVIVE,GHOST OF CHRISTMAS PRESENT,Spread cheer by helping a free holiday player survive a campaign.,0,
550,Left 4 Dead 2,4.33,ACH_SURVIVAL_BRONZE_MEDAL,GETTING STARTED,Earn a bronze medal on any official Survival map.,0,
550,Left 4 Dead 2,4.33,ACH_SURVIVAL_SILVER_MEDAL,ON OUR WAY,Earn a silver medal on any official survival map.,0,
550,Left 4 Dead 2,4.33,ACH_SURVIVAL_GOLD_MEDAL,THIS IS WHERE THE FUN BEGINS,Earn a gold medal on any official survival map.,0,
550,Left 4 Dead 2,4.33,ACH_SURVIVE_LIGHTHOUSE,STILL STANDING,Survive The Last Stand campaign on any difficulty.,0,
550,Left 4 Dead 2,4.33,ACH_SURVIVE_LIGHTHOUSE_EXPERT_REALISM,THE LAST FRONTIER,Survive The Last Stand campaign on Expert Realism.,0,
550,Left 4 Dead 2,4.33,ACH_COLLECT_GOLDEN_CROWBARS,GOLDEN FREEMAN,Find the golden crowbars hidden in the Left 4 Dead 1 survival maps.,0,
550,Left 4 Dead 2,4.33,ACH_REVIVE_WITH_ACTIVE_TANK,ELEPHANT IN THE ROOM,Revive an incapacitated teammate while a Tank is nearby.,0,
550,Left 4 Dead 2,4.33,ACH_VS_SPIT_ON_CHARGED_PLAYER,I SPIT ON YOUR GRAVE,"As the Spitter, spit on a Survivor who is pinned by a Charger.",0,
550,Left 4 Dead 2,4.33,ACH_VS_SPIT_ON_POUNCED_PLAYER,ACID BATH,"As the Spitter, spit on a Survivor who is pinned by a Hunter.",0,
550,Left 4 Dead 2,4.33,ACH_VS_SPIT_ON_GAS_CANS,SPITFIRE,Destroy 20 gascans as the Spitter.,0,
550,Left 4 Dead 2,4.33,ACH_VS_CHARGER_INSTANT_KILL,FLIGHT DECK,Instantly kill a Survivor as the Charger.,0,
550,Left 4 Dead 2,4.33,ACH_VS_BILE_PLAYER_NO_LINE_OF_SIGHT,FAT NINJA,"As the Boomer, vomit on a Survivor without having direct line of sight with them.",0,
550,Left 4 Dead 2,4.33,ACH_RESCUE_X_PLAYERS_TOGETHER,THREE’S A CROWD,Rescue three Survivors from a single rescue closet.,0,
550,Left 4 Dead 2,4.33,ACH_FREE_SELF_FROM_SMOKER_WITH_MELEE,LICKETY-SPLIT,"With a sharp melee weapon, cut a Smoker's tongue before he ensnares you.",0,
550,Left 4 Dead 2,4.33,ACH_KILL_LEAPING_HUNTER_WITH_SHOTGUN,GET SKEETED ON,Kill a pouncing Hunter with a shotgun.,0,
550,Left 4 Dead 2,4.33,ACH_DESTROY_TANK_ROCK,ROCKY HORROR PICTURE THROW,Destroy a Tank's rock in mid-air.,0,
550,Left 4 Dead 2,4.33,ACH_ONE_SHOT_KILL_WITCH_BRIDE,SHOTGUN WEDDING,Kill the Witch bride with a single shotgun blast on expert difficulty.,0,
550,Left 4 Dead 2,4.33,ACH_CAUSE_X_POUNCE_DAMAGE,ONE HIT WONDER,"As the Hunter, land a 25 damage pounce.",0,
550,Left 4 Dead 2,4.33,ACH_KILL_X_JOCKEYS_WITH_MELEE,PURE SATISFACTION,Kill 20 Jockeys with the shovel or pitchfork.,0,
550,Left 4 Dead 2,4.33,ACH_SURVIVAL_VERSUS_X_MINUTES,THE BIG TEN,Survive for 10 minutes on any official map in Versus Survival.,0,
550,Left 4 Dead 2,4.33,ACH_KILL_X_INFECTED_LIFETIME,Z-GENOCIDEST 2: EPISODE 2,"Kill 53,599 infected. You made sure the dead won't rise anymore!",0,
550,Left 4 Dead 2,4.33,ACH_ESCAPE_MALL_FINALE_NO_TANKS,POLE POSITION,Escape Liberty Mall's Atrium before the first Tank appears,0,
550,Left 4 Dead 2,4.33,ACH_FIND_LIGHTHOUSE_HIDDEN_ROOM,HOUSEHOLD NAMES,Discover the hidden room in the Last Stand campaign,0,
550,Left 4 Dead 2,4.33,ACH_EARN_ALL_BRONZE_MEDALS,A LITTLE HACK AND SLASH,Earn a bronze medal on every official survival map,0,
550,Left 4 Dead 2,4.33,ACH_EARN_ALL_SILVER_MEDALS,LIKE LAMBS TO THE SLAUGHTER,Earn a silver medal on every official survival map.,0,
550,Left 4 Dead 2,4.33,ACH_EARN_ALL_GOLD_MEDALS,KILLING SPREE,Earn a gold medal on every official survival map.,0,
550,Left 4 Dead 2,4.33,ACH_SURVIVAL_X_MINUTES,SUPREME SURVIVALIST,Survive for 30 minutes on any official survival map.,0,
550,Left 4 Dead 2,4.33,ACH_KILL_WITCH_MELEE_ONLY,NEW HAIRCUT,"Kill a Witch using only a sharp melee weapon, without anyone getting incapacitated or killed.",0,
550,Left 4 Dead 2,4.33,ACH_CONCERT_FINALE_DONT_LEAVE_STAGE,THE MAIN ATTRACTION,"On the concert finale, survive until the helicopter arrives without leaving the stage",0,
550,Left 4 Dead 2,4.33,ACH_LAST_STAND_TIMED,THE LAST DASH,"Complete The Last Stand campaign in 13 minutes or less, without any Survivors dying.",0,
550,Left 4 Dead 2,4.33,GLOBAL_GNOME_ALONE,GNOME ALONE,"If you are reading this achievement, Gabe Newell has successfully launched Gnome Chompski into space.",0,
43110,Metro 2033,10.23,ach_Air_gunner,Air gunner,Kill 30 enemies using pneumatic weapons.,0,
43110,Metro 2033,10.23,ach_Boom,Ka-Boom!,Explode 10 enemies.,0,
43110,Metro 2033,10.23,ach_Cowboy,Cowboy,Kill 30 enemies using revolvers.,1,2013-05-27T22:09:57
43110,Metro 2033,10.23,ach_Demolitionist,Demolitionist,Blow up the tunnel and airlock at 'Cursed' station.,1,2013-05-27T22:13:01
43110,Metro 2033,10.23,ach_Enlightened,Enlightened,,0,
43110,Metro 2033,10.23,ach_Fire_in_the_hole,Fire in the hole,Kill 20 lurkers.,1,2013-12-30T21:11:53
43110,Metro 2033,10.23,ach_first_blood,First blood,"What doesn't kill you, makes you stronger.",1,2013-05-07T02:20:50
43110,Metro 2033,10.23,ach_frontline_kill_everyone,Hedge-hopper,On the level 'Frontline' kill all of the enemy Red Army and Fascist Soldiers.,0,
43110,Metro 2033,10.23,ach_frontline_stealth,Invisible man,Complete 'Frontline' level without killing anyone.,0,
43110,Metro 2033,10.23,ach_Fugitive,Fugitive,Complete level 'Armory' without getting caught.,1,2013-12-30T17:31:55
43110,Metro 2033,10.23,ach_Ghost_buster,Exorcist,Complete levels 'Ghosts' and 'Anomaly' without dying.,1,2013-12-30T05:38:32
43110,Metro 2033,10.23,ach_heavy_metal,Heavy Metal,Kill 15 enemies using stationary machine gun.,0,
43110,Metro 2033,10.23,ach_hostile,"If it's hostile, you kill it.",,0,
43110,Metro 2033,10.23,ach_Inquisitor,Inquisitor,Kill 2 demons.,0,
43110,Metro 2033,10.23,ach_Machete,Slice & Dice,Kill 20 enemies with the knife.,0,
43110,Metro 2033,10.23,ach_Merciful,Merciful,Complete the level 'Black Station' without killing any Fascist Soldiers.,0,
43110,Metro 2033,10.23,ach_Ninja,Ninja,Kill 10 enemies with throwing knives.,0,
43110,Metro 2033,10.23,ach_Nosalis_hunter,Nosalis hunter,Kill 30 nosalises.,1,2013-05-10T03:38:02
43110,Metro 2033,10.23,ach_Old_school,Old school,Kill 30 enemies with the double-barreled shotgun.,0,
43110,Metro 2033,10.23,ach_Pathoanatomist,Pathoanatomist,Kill 5 amoebas.,0,
43110,Metro 2033,10.23,ach_Pyro,Pyro,Kill 5 enemies with a flamethrower.,0,
43110,Metro 2033,10.23,ach_quick_witted,Quick-witted,Break the support and activate the chandelier in less than 20 seconds.,0,
43110,Metro 2033,10.23,ach_Radio_DJ,DJ Artyom,On the level 'Outpost' reach the radio tower and broadcast the commander's message.,1,2013-12-30T21:46:02
